1453788000, Breakfast, 1
1453799700, The Housing Enforcers, 2
1453802400, Homes Under the Hammer, 3
1453806000, Wanted Down Under, 4
1453808700, Emergency Rescue Down Under, 5
1453810500, Bargain Hunt, 6
1453813200, BBC News at One; Weather, 7
1453815000, BBC Regional, 8
1453815900, Doctors, 9
1453817700, Father Brown, 10
1453820400, For What It's Worth, 11
1453823100, James Martin: Home Comforts, 12
1453825800, Antiques Road Trip, 13
1453828620, Pointless, 14
1453831200, BBC News at Six; Weather, 15
1453833000, BBC Regional News and Weather, 16
1453834800, The One Show, 17
1453836600, EastEnders, 18
1453838400, Sign Zone: Holby City, 19
1453842000, Silent Witness, 20
1453845600, BBC News at Ten, 21
1453847400, BBC Regional, 22
1453848300, Attenborough & the Giant Dinosaur, 23
1453808700, Live at the Apollo, 24
